,ID_consumidor,ID_lugar,calificacion,calificacion_comida,calificacion_servicio,latitud,longitud,fumador_activo,nivel_de_alcohol,vestimenta_preferida,ambiente,medio_de_transporte,estado_civil,año_nacimiento,intereses,ocupacion,presupuesto,tipo_de_comida,metodo_de_pago
0,U1077,135085,2,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito
1,U1077,135038,2,2,1,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito
2,U1077,132825,2,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito
3,U1077,135060,1,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito
4,U1068,135104,1,1,2,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
5,U1068,132740,0,0,0,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
6,U1068,132663,1,1,1,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
7,U1068,132732,0,0,0,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
8,U1068,132630,1,1,1,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
9,U1067,132584,2,2,2,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
10,U1067,132733,1,1,1,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
11,U1067,132732,1,2,2,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
12,U1067,132630,1,0,1,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
13,U1067,135104,0,0,0,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
14,U1067,132560,1,0,0,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
15,U1103,132584,1,2,1,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
16,U1103,132732,0,0,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
17,U1103,132630,1,2,0,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
18,U1103,132613,2,2,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
19,U1103,132667,1,2,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
20,U1103,135104,1,2,0,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
21,U1103,132663,1,0,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
22,U1103,132733,2,2,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito
23,U1107,132660,2,2,1,23.742409,-99.171889,falso,sobrio,sin_preferencia,amigos,auto,soltero,1989,variedad,desconocido,alto,norteamericana,dinero_efectivo
24,U1107,132584,2,2,2,23.742409,-99.171889,falso,sobrio,sin_preferencia,amigos,auto,soltero,1989,variedad,desconocido,alto,norteamericana,dinero_efectivo
25,U1107,132733,2,2,2,23.742409,-99.171889,falso,sobrio,sin_preferencia,amigos,auto,soltero,1989,variedad,desconocido,alto,norteamericana,dinero_efectivo
26,U1044,135088,2,2,2,18.95298,-99.260789,verdadero,bebedor_social,informal,familia,auto,casado,1969,variedad,profesional,medio,asiatica,dinero_efectivo
27,U1044,132583,1,2,1,18.95298,-99.260789,verdadero,bebedor_social,informal,familia,auto,casado,1969,variedad,profesional,medio,asiatica,dinero_efectivo
28,U1070,132608,2,2,1,23.753237,-99.166868,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1991,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
29,U1070,132609,1,1,1,23.753237,-99.166868,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1991,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
30,U1070,132613,1,1,0,23.753237,-99.166868,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1991,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
31,U1031,132663,0,0,0,23.735698,-99.159851,falso,sobrio,informal,solitario,desconocido,casado,1992,ninguno,desempleado,medio,panaderia_cafeteria,dinero_efectivo
