,ID_consumidor,ID_lugar,calificacion,calificacion_comida,calificacion_servicio,latitud,longitud,fumador_activo,nivel_de_alcohol,vestimenta_preferida,ambiente,medio_de_transporte,estado_civil,año_nacimiento,intereses,ocupacion,presupuesto,tipo_de_comida,metodo_de_pago,tipo_de_restaurante,forma_de_pago_que_aceptan,dias_abierto
0,U1077,135085,2,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito,comida_rapida,dinero_efectivo,lunes a domingo
1,U1077,135038,2,2,1,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito,,,
2,U1077,132825,2,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito,latinoamericana,dinero_efectivo,lunes a domingo
3,U1077,135060,1,2,2,22.156469,-100.98554,falso,bebedor_social,formal,familia,transporte_publico,casado,1987,tecnología,estudiante,medio,latinoamericana,tarjeta_debito_credito,norteamericana,dinero_efectivo,lunes a domingo
4,U1068,135104,1,1,2,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo,latinoamericana,tarjeta_debito_credito y dinero_efectivo,lunes a domingo
5,U1068,132740,0,0,0,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo,latinoamericana,dinero_efectivo,lunes a domingo
6,U1068,132663,1,1,1,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo,,,
7,U1068,132732,0,0,0,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo,latinoamericana,dinero_efectivo,lunes a domingo
8,U1068,132630,1,1,1,23.752269,-99.168605,falso,bebedor_casual,informal,amigos,transporte_publico,soltero,1988,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo,,,
9,U1067,132584,2,2,2,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,latinoamericana,dinero_efectivo,lunes a domingo
10,U1067,132733,1,1,1,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,comida_rapida,tarjeta_debito_credito y dinero_efectivo,lunes a domingo
11,U1067,132732,1,2,2,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,latinoamericana,dinero_efectivo,lunes a domingo
12,U1067,132630,1,0,1,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,,,
13,U1067,135104,0,0,0,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,latinoamericana,tarjeta_debito_credito y dinero_efectivo,lunes a domingo
14,U1067,132560,1,0,0,23.752269,-99.168605,falso,sobrio,sin_preferencia,familia,transporte_publico,soltero,1987,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo,norteamericana,dinero_efectivo,lunes a domingo
15,U1103,132584,1,2,1,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito,latinoamericana,dinero_efectivo,lunes a domingo
16,U1103,132732,0,0,2,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito,latinoamericana,dinero_efectivo,lunes a domingo
17,U1103,132630,1,2,0,23.752265,-99.16859,falso,sobrio,formal,amigos,transporte_publico,soltero,1989,tecnología,profesional,medio,comida_rapida,tarjeta_debito_credito,,,
