ID re,Tipo de restaurante,Forma de pago que aceptan,Dias abierto
132012,Francesa - Belga,2-3,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132023,Francesa - Belga,2-3,Sa-Sa-Do-Do-Toda la semana-Toda la semana
132024,Comida del mar - Europea,2-3,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132026,Belga,2-3,Toda la semana
132030,Francesa - Belga,2-3-4,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132103,Italiana,2,Toda la semana incluyendo domingo
132107,Japanese,2-3,Toda la semana incluyendo fin de semana
132109,Vegetariana - Orgánica,2,Toda la semana incluyendo fin de semana
132115,Asiatica,2,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132116,Asiatica,2,Toda la semana incluyendo fin de semana
132130,Turca,2,Toda la semana incluyendo fin de semana
132155,Francesa - Mediterranea,3,Toda la semana-Sa-Sa-Do-Do-Toda la semana
132159,Francesa,2-3,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132160,Belga,2-3,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132161,Francesa - Internacional,3-4,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132163,Cafeteria,3,Toda la semana incluyendo fin de semana
132164,Internacional,2-3,Toda la semana incluyendo fin de semana
132165,Internacional,2-3,Toda la semana-Toda la semana-Sa-Sa-Do-Do
132187,Cafeteria - Bar,2-3,Sa-Do-Toda la semana-Toda la semana-Do-Sa
132204,Internacional,2-3,Toda la semana incluyendo fin de semana
132206,Internacional,2-3,Do-Do-Toda la semana-Toda la semana-Sa-Sa
132207,Internacional - Italiana,2-3,Toda la semana incluyendo fin de semana
132220,Francesa,2,Toda la semana-Toda la semana-Sa-Sa
132221,Americana,2,Toda la semana-Toda la semana-Sa-Sa
132229,Italiana,2,Toda la semana incluyendo fin de semana
132231,Italiana,2-4,Toda la semana-Sa-Sa-Do-Do-Toda la semana
132237,Japanese - Comida del mar - Asiatica,2,Do-Do-Sa-Sa-Toda la semana-Toda la semana
132243,Francesa - Italiana,2,Toda la semana-Sa-Toda la semana-Sa
132244,Francesa - Alemana - Italiana,2-3-5,Toda la semana-Toda la semana-Sa-Sa
132275,América Latina,2,Toda la semana incluyendo fin de semana
